COE_names,P3-EUI Num,P3-Breach%,P3-Deviation
Bidding & Risk,22,18.18181818,0.533333333
BIM for Construction,35,11.42857143,0.533333333
Common Services,48,56.25,1.233333333
Construction Records,131,24.42748092,0.6
Field Collaboration,110,54.54545455,1.2
Field Workflows,23,47.82608696,1
Frameworks,46,45.65217391,0.933333333
Nexus,39,43.58974359,0.733333333
Project Controls,41,26.82926829,0.8
Pype,3,33.33333333,0.666666667
Service Infrastructure,2,0,0.466666667
Work Breakdown & Planning,49,26.53061224,0.6
