COE_names,P2-EUI Num,P2-Breach%,P2-Deviation
Bidding & Risk,53,35.8490566,0.666666667
BIM for Construction,58,50,1.166666667
Common Services,88,71.59090909,2.333333333
Construction Records,170,60.58823529,1.333333333
Field Collaboration,125,84,2.666666667
Field Workflows,34,47.05882353,1
Frameworks,151,65.56291391,1.666666667
Nexus,95,76.84210526,2
Project Controls,38,68.42105263,1.333333333
Pype,7,71.42857143,2
Service Infrastructure,5,60,1.333333333
Work Breakdown & Planning,94,57.44680851,1.333333333
