RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES,CREATED_TIMESTAMP,COE_NAMES,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,ON_TIME
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,,35:07.0,,33:13.0,CR - Docs Core,24:12.0,Construction Records,,,72,FALSE
Fixed,,,35:07.0,,33:13.0,CR - Docs Core,24:12.0,Construction Records,,,72,FALSE
Fixed,,,35:07.0,,33:13.0,CR - Docs Core,24:12.0,Construction Records,,,72,FALSE
Fixed,,,35:07.0,,33:13.0,CR - Docs Core,24:12.0,Construction Records,,,72,FALSE
Incidentally Fixed,,P2,58:17.0,,03:50.0,FR - Frameworks,03:29.0,Frameworks,,72,24,TRUE
Incidentally Fixed,,P2,58:17.0,,03:50.0,FR - Frameworks,03:29.0,Frameworks,,72,24,TRUE
Fixed,,,35:09.0,,23:59.0,CR - Docs Core,18:11.0,Construction Records,,,864,FALSE
Fixed,,,35:09.0,,23:59.0,CR - Docs Core,18:11.0,Construction Records,,,864,FALSE
Fixed,,,35:09.0,,23:59.0,CR - Docs Core,18:11.0,Construction Records,,,864,FALSE
Fixed,,,35:09.0,,23:59.0,CR - Docs Core,18:11.0,Construction Records,,,864,FALSE
Fixed,,,35:09.0,,23:59.0,CR - Docs Core,18:11.0,Construction Records,,,864,FALSE
Fixed,,,35:09.0,,23:59.0,CR - Docs Core,18:11.0,Construction Records,,,864,FALSE
Fixed,,,35:09.0,,23:59.0,CR - Docs Core,18:11.0,Construction Records,,,864,FALSE
,,,35:09.0,,23:54.0,CR - Docs Core,23:54.0,Construction Records,,,0,FALSE
Won't Do,,P3,33:46.0,,03:39.0,CR - Docs Core,51:41.0,Construction Records,,360,11328,FALSE
Won't Do,,P3,33:46.0,,03:39.0,CR - Docs Core,51:41.0,Construction Records,,360,11328,FALSE
Won't Do,,P3,33:46.0,,03:39.0,CR - Docs Core,51:41.0,Construction Records,,360,11328,FALSE
Won't Do,,P3,33:46.0,,03:39.0,CR - Docs Core,51:41.0,Construction Records,,360,11328,FALSE
Cannot Reproduce,,,35:07.0,,13:36.0,CR - Docs Core,09:32.0,Construction Records,,,888,FALSE
Cannot Reproduce,,,35:07.0,,13:36.0,CR - Docs Core,09:32.0,Construction Records,,,888,FALSE
Cannot Reproduce,,,35:07.0,,13:36.0,CR - Docs Core,09:32.0,Construction Records,,,888,FALSE
Cannot Reproduce,,,35:07.0,,13:36.0,CR - Docs Core,09:32.0,Construction Records,,,888,FALSE
Cannot Reproduce,,,35:07.0,,13:36.0,CR - Docs Core,09:32.0,Construction Records,,,888,FALSE
Cannot Reproduce,,,35:07.0,,13:36.0,CR - Docs Core,09:32.0,Construction Records,,,888,FALSE
Cannot Reproduce,,,35:07.0,,13:36.0,CR - Docs Core,09:32.0,Construction Records,,,888,FALSE
